model,img_size,fold,f1_macro,f1_weighted,accuracy,precision_macro,recall_macro,precision_per_class,recall_per_class,f1_per_class
efficientnetb0,192,7,0.6588052191053116,0.8030298962380238,0.775330396475771,0.6216168661464456,0.7730829490130761,"[0.5357142857142857, 0.9545454545454546, 0.6, 0.9754098360655737, 0.2727272727272727, 0.391304347826087]","[0.7894736842105263, 0.7241379310344828, 0.8571428571428571, 0.7828947368421053, 0.6666666666666666, 0.8181818181818182]","[0.6382978723404256, 0.8235294117647058, 0.7058823529411765, 0.8686131386861314, 0.3870967741935484, 0.5294117647058824]"
efficientnetb0,192,8,0.6212918660287081,0.819616872027212,0.8008849557522124,0.5865071770334929,0.6796988880246593,"[0.52, 0.9285714285714286, 0.2727272727272727, 0.9548872180451128, 0.2, 0.6428571428571429]","[0.6842105263157895, 0.896551724137931, 0.42857142857142855, 0.8355263157894737, 0.3333333333333333, 0.9]","[0.5909090909090909, 0.9122807017543859, 0.3333333333333333, 0.8912280701754386, 0.25, 0.75]"
efficientnetb0,192,9,0.7174830198537095,0.8590082238312327,0.8495575221238938,0.6766090653768139,0.7806980333976704,"[0.6153846153846154, 0.9310344827586207, 0.5, 0.9632352941176471, 0.4666666666666667, 0.5833333333333334]","[0.8421052631578947, 0.9310344827586207, 0.5714285714285714, 0.8618421052631579, 0.7777777777777778, 0.7]","[0.7111111111111111, 0.9310344827586207, 0.5333333333333333, 0.9097222222222222, 0.5833333333333334, 0.6363636363636364]"
efficientnetb0,192,10,0.6806162609522654,0.8259878939931818,0.8141592920353983,0.6394024276377218,0.7539176781823841,"[0.5, 0.9285714285714286, 0.5555555555555556, 0.9411764705882353, 0.4666666666666667, 0.4444444444444444]","[0.5555555555555556, 0.9285714285714286, 0.625, 0.8366013071895425, 0.7777777777777778, 0.8]","[0.5263157894736842, 0.9285714285714286, 0.5882352941176471, 0.8858131487889274, 0.5833333333333334, 0.5714285714285714]"
efficientnetb0,192,11,0.6549050608449835,0.8214229778311327,0.8061674008810573,0.6177346999405823,0.7233806499006136,"[0.5416666666666666, 0.92, 0.45454545454545453, 0.9485294117647058, 0.375, 0.4666666666666667]","[0.6842105263157895, 0.7931034482758621, 0.7142857142857143, 0.8486842105263158, 0.6, 0.7]","[0.6046511627906976, 0.8518518518518519, 0.5555555555555556, 0.8958333333333334, 0.46153846153846156, 0.56]"
efficientnetb0,192,12,0.6313304844265171,0.799276508318861,0.775330396475771,0.580908129793836,0.7684089075876734,"[0.6086956521739131, 0.9032258064516129, 0.3181818181818182, 0.9745762711864406, 0.23076923076923078, 0.45]","[0.7368421052631579, 0.9655172413793104, 1.0, 0.756578947368421, 0.3333333333333333, 0.8181818181818182]","[0.6666666666666666, 0.9333333333333333, 0.4827586206896552, 0.8518518518518519, 0.2727272727272727, 0.5806451612903226]"
efficientnetb0,192,13,0.7098241715030036,0.8230550356704998,0.8008849557522124,0.6609800687905077,0.8203316000729793,"[0.5517241379310345, 0.9259259259259259, 0.6666666666666666, 0.9754098360655737, 0.5384615384615384, 0.3076923076923077]","[0.8421052631578947, 0.8620689655172413, 0.8571428571428571, 0.7828947368421053, 0.7777777777777778, 0.8]","[0.6666666666666666, 0.8928571428571429, 0.75, 0.8686131386861314, 0.6363636363636364, 0.4444444444444444]"
efficientnetb0,192,14,0.7264054802843555,0.8756510055376265,0.8672566371681416,0.6961050724637681,0.7771892614678458,"[0.7391304347826086, 0.9642857142857143, 0.5714285714285714, 0.9642857142857143, 0.4375, 0.5]","[0.8947368421052632, 0.9310344827586207, 0.5714285714285714, 0.8881578947368421, 0.7777777777777778, 0.6]","[0.8095238095238095, 0.9473684210526315, 0.5714285714285714, 0.9246575342465754, 0.56, 0.5454545454545454]"
efficientnetb0,192,15,0.7307286445303828,0.8699085912448394,0.8584070796460177,0.7035655929038281,0.8074463118580767,"[0.65, 0.9642857142857143, 0.6666666666666666, 0.9779411764705882, 0.4, 0.5625]","[0.7222222222222222, 0.9642857142857143, 0.5, 0.869281045751634, 0.8888888888888888, 0.9]","[0.6842105263157895, 0.9642857142857143, 0.5714285714285714, 0.9204152249134948, 0.5517241379310345, 0.6923076923076923]"
efficientnetb0,224,1,0.6973187205301389,0.8405680444671748,0.8281938325991189,0.6455395735716102,0.781098219687149,"[0.5652173913043478, 0.8666666666666667, 0.5, 0.9699248120300752, 0.4, 0.5714285714285714]","[0.6842105263157895, 0.896551724137931, 0.8571428571428571, 0.8486842105263158, 0.6, 0.8]","[0.6190476190476191, 0.8813559322033898, 0.631578947368421, 0.9052631578947369, 0.48, 0.6666666666666666]"
efficientnetb0,224,2,0.6678816006772995,0.8194363886420161,0.801762114537445,0.6245212555208502,0.7575012286899764,"[0.53125, 0.9615384615384616, 0.4444444444444444, 0.9606299212598425, 0.4117647058823529, 0.4375]","[0.8947368421052632, 0.8620689655172413, 0.5714285714285714, 0.8026315789473685, 0.7777777777777778, 0.6363636363636364]","[0.6666666666666666, 0.9090909090909091, 0.5, 0.8745519713261649, 0.5384615384615384, 0.5185185185185185]"
efficientnetb0,224,3,0.6851546346676622,0.8386491810505545,0.827433628318584,0.6595086847746422,0.73075696905098,"[0.5909090909090909, 0.9615384615384616, 0.625, 0.9361702127659575, 0.45454545454545453, 0.3888888888888889]","[0.6842105263157895, 0.8620689655172413, 0.7142857142857143, 0.868421052631579, 0.5555555555555556, 0.7]","[0.6341463414634146, 0.9090909090909091, 0.6666666666666666, 0.9010238907849829, 0.5, 0.5]"
efficientnetb0,224,4,0.740839903521063,0.863405584269378,0.8407079646017699,0.7020943762120232,0.849561163445011,"[0.72, 1.0, 0.7142857142857143, 1.0, 0.3076923076923077, 0.47058823529411764]","[0.9473684210526315, 0.9310344827586207, 0.7142857142857143, 0.8157894736842105, 0.8888888888888888, 0.8]","[0.8181818181818182, 0.9642857142857143, 0.7142857142857143, 0.8985507246376812, 0.45714285714285713, 0.5925925925925926]"
efficientnetb0,224,5,0.7187373737373738,0.8619267900241351,0.8495575221238938,0.6691832858499525,0.7980897914721444,"[0.5833333333333334, 0.9629629629629629, 0.5833333333333334, 0.9777777777777777, 0.3076923076923077, 0.6]","[0.7777777777777778, 0.9285714285714286, 0.875, 0.8627450980392157, 0.4444444444444444, 0.9]","[0.6666666666666666, 0.9454545454545454, 0.7, 0.9166666666666666, 0.36363636363636365, 0.72]"
efficientnetb0,224,6,0.6914233140860678,0.836629248533785,0.8237885462555066,0.6585166971140254,0.7590085126609627,"[0.6538461538461539, 0.9333333333333333, 0.6666666666666666, 0.9541984732824428, 0.5555555555555556, 0.1875]","[0.8947368421052632, 0.9655172413793104, 0.5714285714285714, 0.8223684210526315, 1.0, 0.3]","[0.7555555555555555, 0.9491525423728814, 0.6153846153846154, 0.8833922261484098, 0.7142857142857143, 0.23076923076923078]"
efficientnetb0,224,7,0.722260049891629,0.8498511033753325,0.8325991189427313,0.6837738714673699,0.8059398758128341,"[0.75, 0.9615384615384616, 0.6666666666666666, 0.9624060150375939, 0.35294117647058826, 0.4090909090909091]","[0.7894736842105263, 0.8620689655172413, 0.8571428571428571, 0.8421052631578947, 0.6666666666666666, 0.8181818181818182]","[0.7692307692307693, 0.9090909090909091, 0.75, 0.8982456140350877, 0.46153846153846156, 0.5454545454545454]"
efficientnetb0,224,8,0.6568906321031062,0.8387067117394177,0.8230088495575221,0.6180471933345496,0.7222916006491324,"[0.5714285714285714, 0.9310344827586207, 0.3333333333333333, 0.9629629629629629, 0.26666666666666666, 0.6428571428571429]","[0.631578947368421, 0.9310344827586207, 0.5714285714285714, 0.8552631578947368, 0.4444444444444444, 0.9]","[0.6, 0.9310344827586207, 0.42105263157894735, 0.9059233449477352, 0.3333333333333333, 0.75]"
efficientnetb0,224,9,0.7369197645942497,0.8687166664880765,0.8584070796460177,0.7091049382716049,0.7952170896590135,"[0.6296296296296297, 1.0, 0.6666666666666666, 0.9632352941176471, 0.4117647058823529, 0.5833333333333334]","[0.8947368421052632, 0.9655172413793104, 0.5714285714285714, 0.8618421052631579, 0.7777777777777778, 0.7]","[0.7391304347826086, 0.9824561403508771, 0.6153846153846154, 0.9097222222222222, 0.5384615384615384, 0.6363636363636364]"
efficientnetb0,224,10,0.7204764385313119,0.8464364821016066,0.8362831858407079,0.6784419444251796,0.7921413009648304,"[0.5789473684210527, 0.9310344827586207, 0.6666666666666666, 0.948905109489051, 0.4117647058823529, 0.5333333333333333]","[0.6111111111111112, 0.9642857142857143, 0.75, 0.8496732026143791, 0.7777777777777778, 0.8]","[0.5945945945945946, 0.9473684210526315, 0.7058823529411765, 0.896551724137931, 0.5384615384615384, 0.64]"
efficientnetb0,224,11,0.658705925519651,0.8257949828045709,0.8105726872246696,0.6222303921568627,0.7244771411286838,"[0.52, 0.92, 0.5, 0.9558823529411765, 0.4, 0.4375]","[0.6842105263157895, 0.7931034482758621, 0.7142857142857143, 0.8552631578947368, 0.6, 0.7]","[0.5909090909090909, 0.8518518518518519, 0.5882352941176471, 0.9027777777777778, 0.48, 0.5384615384615384]"
efficientnetb0,224,12,0.711339309248081,0.8642869302038175,0.8546255506607929,0.67260101010101,0.7940922381711856,"[0.7272727272727273, 0.9666666666666667, 0.4117647058823529, 0.9632352941176471, 0.3, 0.6666666666666666]","[0.8421052631578947, 1.0, 1.0, 0.8618421052631579, 0.3333333333333333, 0.7272727272727273]","[0.7804878048780488, 0.9830508474576272, 0.5833333333333334, 0.9097222222222222, 0.3157894736842105, 0.6956521739130435]"
efficientnetb0,224,13,0.7500158954776205,0.8560596335352105,0.8407079646017699,0.7101331450568091,0.8441443647432759,"[0.5666666666666667, 1.0, 0.75, 0.9770992366412213, 0.5384615384615384, 0.42857142857142855]","[0.8947368421052632, 0.7931034482758621, 0.8571428571428571, 0.8421052631578947, 0.7777777777777778, 0.9]","[0.6938775510204082, 0.8846153846153846, 0.8, 0.9045936395759717, 0.6363636363636364, 0.5806451612903226]"
efficientnetb0,224,14,0.7171138359285587,0.8738486024374819,0.8672566371681416,0.6918244798679581,0.7520917955809062,"[0.6956521739130435, 0.9642857142857143, 0.5714285714285714, 0.958041958041958, 0.5, 0.46153846153846156]","[0.8421052631578947, 0.9310344827586207, 0.5714285714285714, 0.9013157894736842, 0.6666666666666666, 0.6]","[0.7619047619047619, 0.9473684210526315, 0.5714285714285714, 0.9288135593220339, 0.5714285714285714, 0.5217391304347826]"
efficientnetb0,224,15,0.7110398114438375,0.8528077729789533,0.8407079646017699,0.6738874923188649,0.7757041705571117,"[0.56, 0.9629629629629629, 0.625, 0.9632352941176471, 0.46153846153846156, 0.47058823529411764]","[0.7777777777777778, 0.9285714285714286, 0.625, 0.8562091503267973, 0.6666666666666666, 0.8]","[0.6511627906976745, 0.9454545454545454, 0.625, 0.9065743944636678, 0.5454545454545454, 0.5925925925925926]"
mobilenetv3large,192,1,0.6612611954447835,0.8473358195675763,0.8281938325991189,0.6217553280053281,0.7382583614207934,"[0.5625, 0.9615384615384616, 0.36363636363636365, 1.0, 0.2, 0.6428571428571429]","[0.9473684210526315, 0.8620689655172413, 0.5714285714285714, 0.8486842105263158, 0.3, 0.9]","[0.7058823529411765, 0.9090909090909091, 0.4444444444444444, 0.9181494661921709, 0.24, 0.75]"
mobilenetv3large,192,2,0.7149441786283891,0.8375250300360433,0.8237885462555066,0.6790544910663755,0.7815833339880527,"[0.5483870967741935, 1.0, 0.75, 0.9473684210526315, 0.4, 0.42857142857142855]","[0.8947368421052632, 0.896551724137931, 0.8571428571428571, 0.8289473684210527, 0.6666666666666666, 0.5454545454545454]","[0.68, 0.9454545454545454, 0.8, 0.8842105263157894, 0.5, 0.48]"
